aalib 1.4rc5-14
acl 2.3.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 41.0-1
alacritty 0.10.0-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
amd-ucode 20220119.0c6a7b3-2
aom 3.2.0-1
archlinux-keyring 20220125-1
argon2 20190702-4
at-spi2-atk 2.38.0-1
at-spi2-core 2.42.0-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.6-5
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
babl 0.1.88-2
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bind 9.16.25-1
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
bluez-libs 5.63-1
boost-libs 1.78.0-1
brotli 1.0.9-7
btrfs-progs 5.16-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.74-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
cdparanoia 10.2-8
chromaprint 1.5.1-1
clementine 1.4.0rc1+776+gcefe81d0c-1
code 1.63.2-1
colord 1.4.5-4
coreutils 9.0-2
cpio 2.13-2
cronie 1.5.7-2
crypto++ 8.6.0-1
cryptsetup 2.4.3-1
curl 7.81.0-2
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dconf 0.40.0-1
deadbeef 1.8.8-3
desktop-file-utils 0.26-1
device-mapper 2.03.14-2
dhcpcd 9.4.1-1
dialog 1:1.3_20220117-1
diffutils 3.8-1
dmenu 5.0-1
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.2.0-1
dtc 1.6.1-3
e2fsprogs 1.46.5-1
edk2-ovmf 202111-5
efibootmgr 17-2
efivar 38-2
egl-wayland 2:1.1.9+r3+g582b2d3-1
eglexternalplatform 1.1-2
electron12 12.2.3-2
electron13 13.6.8-2
elfutils 0.186-3
emacs 27.2-1
enchant 2.3.2-1
exempi 2.5.2-1
exfat-utils 1.3.0-2
exiv2 0.27.5-1
exo 4.16.3-1
expat 2.4.3-1
fakeroot 1.27-1
faudio 22.01-1
ffmpeg 2:4.4.1-1
fftw 3.3.10-1
file 5.41-1
filesystem 2021.12.07-1
findutils 4.8.0-1
firefox 96.0.3-1
fish 3.3.1-1
flac 1.3.3-3
flex 2.6.4-3
fontconfig 2:2.13.94-2
freetype2 2.11.1-1
fribidi 1.0.11-1
ftgl 2.4.0-2
fuse-common 3.10.5-1
fuse2 2.9.9-4
fuse3 3.10.5-1
fuseiso 20070708-8
galculator 2.1.4-6
garcon 4.16.1-1
gawk 5.1.1-1
gc 8.2.0-2
gcc 11.1.0-3
gcc-libs 11.1.0-3
gcr 3.41.0-1
gd 2.3.3-3
gdbm 1.22-1
gdk-pixbuf2 2.42.6-2
gegl 0.4.34-1
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghostscript 9.55.0-3
giflib 5.2.1-2
gimp 2.10.30-1
gimp-help-en_gb 2.10.0-4
git 2.35.1-1
glew 2.2.0-2
glib-networking 1:2.70.1-1
glib2 2.70.3-1
glibc 2.33-5
glibmm 2.66.2-1
glm 0.9.9.8-1
glu 9.0.2-2
gmp 6.2.1-1
gnome-autoar 0.4.2-1
gnome-desktop 1:41.3-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnupg 2.2.32-2
gnutls 3.7.3-1
go 2:1.17.6-2
gobject-introspection-runtime 1.70.0-5
gpgme 1.16.0-3
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.8-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.50.0-2
grep 3.7-1
groff 1.22.4-6
grub 2:2.06-4
gsettings-desktop-schemas 41.0-1
gsfonts 20200910-2
gsm 1.0.19-1
gst-libav 1.18.5-1
gst-plugins-bad-libs 1.18.5-5
gst-plugins-base 1.18.5-1
gst-plugins-base-libs 1.18.5-1
gst-plugins-good 1.18.5-2
gstreamer 1.18.5-1
gtk-update-icon-cache 1:4.6.0-2
gtk-vnc 1.3.0-1
gtk2 2.24.33-2
gtk3 1:3.24.31-1
gtk4 1:4.6.0-2
gtkmm 1:2.24.5-4
gtksourceview4 4.8.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp-dlna 0.12.0-1
gvfs 1.48.1-1
gzip 1.11-1
harfbuzz 3.2.0-1
harfbuzz-icu 3.2.0-1
haskell-adjunctions 4.4-287
haskell-aeson 1.5.6.0-76
haskell-alsa-core 0.5.0.1-17
haskell-alsa-mixer 0.3.0-73
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-149
haskell-asn1-parse 0.9.5-149
haskell-asn1-types 0.3.4-128
haskell-assoc 1.0.2-120
haskell-async 2.2.4-3
haskell-attoparsec 0.14.3-4
haskell-base-compat 0.11.2-7
haskell-base-compat-batteries 0.11.2-182
haskell-base-orphans 0.8.5-36
haskell-base64-bytestring 1.2.1.0-26
haskell-basement 0.0.12-4
haskell-bifunctors 5.5.11-45
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-149
haskell-blaze-markup 0.8.2.8-55
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-38
haskell-case-insensitive 1.2.1.0-128
haskell-cereal 0.5.8.2-2
haskell-comonad 5.0.8-124
haskell-conduit 1.3.4.2-25
haskell-conduit-extra 1.3.5-200
haskell-connection 0.3.1-169
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.5-12
haskell-cryptonite 0.29-42
haskell-data-default 0.7.1.1-194
haskell-data-default-class 0.1.2.0-24
